taxa,si
Salpiglossis_sinuata,0
Cestrum_megalophyllum,1
Cestrum_nocturnum,0
Cestrum_aurantiacum,0
Cestrum_fasciculatum,0
Goetzea_elegans,1
Schizanthus_porrigens,0
Schizanthus_pinnatus,0
Schizanthus_tricolor,0
Schizanthus_grahamii,0
Schizanthus_hookeri,0
Calibrachoa_sellowiana,1
Calibrachoa_parviflora,0
Calibrachoa_pygmea,1
Petunia_axillaris,0
Petunia_exserta,0
Petunia_integrifolia,1
Petunia_mantiqueirensis,1
Petunia_bonjardinensis,1
Petunia_altiplana,1
Brunfelsia_americana,1
Nierembergia_linariifolia,1
Nicotiana_tabacum,0
Nicotiana_otophora,0
Nicotiana_tomentosa,1
Nicotiana_tomentosiformis,0
Nicotiana_wigandioides,0
Nicotiana_glutinosa,0
Nicotiana_undulata,0
Nicotiana_benavidesii,0
Nicotiana_cordifolia,0
Nicotiana_solanifolia,0
Nicotiana_paniculata,0
Nicotiana_knightiana,0
Nicotiana_rustica,0
Nicotiana_quadrivalvis,0
Nicotiana_obtusifolia,0
Nicotiana_linearis,0
Nicotiana_miersii,0
Nicotiana_corymbosa,0
Nicotiana_sylvestris,0
Nicotiana_nudicaulis,0
Nicotiana_repanda,0
Nicotiana_stocktonii,0
Nicotiana_alata,1
Nicotiana_bonariensis,1
Nicotiana_forgetiana,1
Nicotiana_longiflora,0
Nicotiana_plumbaginifolia,0
Nicotiana_africana,0
Nicotiana_acaulis,0
Nicotiana_noctiflora,1
Nicotiana_petunioides,1
Nicotiana_occidentalis,0
Nicotiana_megalosiphon,0
Nicotiana_excelsior,0
Nicotiana_maritima,0
Nicotiana_amplexicaulis,0
Nicotiana_suaveolens,0
Nicotiana_goodspeedii,0
Nicotiana_gossei,0
Nicotiana_rosulata,0
Nicotiana_velutina,0
Jaborosa_integrifolia,1
Atropa_belladonna,0
Anisodus_tanguticus,0
Hyoscyamus_albus,0
Hyoscyamus_niger,0
Hyoscyamus_muticus,0
Nolana_rupicola,1
Nolana_rostrata,1
Nolana_adansonii,1
Nolana_plicata,1
Nolana_aticoana,1
Nolana_humifusa,1
Nolana_laxa,1
Lycium_hirsutum,1
Lycium_cinereum,1
Lycium_pallidum,1
Lycium_cooperi,1
Lycium_puberulum,1
Lycium_californicum,0
Lycium_cestroides,1
Lycium_brevipes,1
Lycium_minimum,0
Lycium_parishii,1
Lycium_andersonii,1
Lycium_berlandieri,1
Solandra_grandiflora,1
Dyssochroma_viridiflora,1
Mandragora_caulescens,0
Mandragora_officinarum,1
Nicandra_physalodes,0
Brugmansia_sanguinea,1
Brugmansia_aurea,1
Datura_discolor,0
Datura_metel,0
Datura_leichhardtii,0
Datura_ferox,0
Datura_quercifolia,0
Datura_stramonium,0
Datura_ceratocaula,0
Salpichroa_origanifolia,1
Lycianthes_heteroclita,0
Lycianthes_asarifolia,1
Lycianthes_ciliolata,1
Capsicum_lanceolatum,0
Capsicum_rhomboideum,0
Capsicum_villosum,0
Capsicum_schottianum,0
Capsicum_flexuosum,0
Capsicum_eximium,0
Capsicum_pubescens,0
Capsicum_chacoense,0
Capsicum_baccatum,0
Capsicum_annuum,0
Capsicum_chinense,0
Capsicum_frutescens,0
Capsicum_galapagoensis,0
Cuatresia_cuneata,1
Cuatresia_exiguiflora,1
Cuatresia_riparia,1
Withania_somnifera,0
Vassobia_breviflora,0
Dunalia_brachyacantha,1
Eriolarynx_lorentzii,1
Iochroma_australe,1
Iochroma_fuchsioides,1
Acnistus_arborescens,0
Iochroma_cyaneum,1
Witheringia_macrantha,1
Physalis_crassifolia,1
Physalis_longifolia,1
Physalis_pruinosa,0
Physalis_angulata,0
Physalis_pubescens,0
Physalis_heterophylla,0
Physalis_cinerascens,1
Physalis_viscosa,1
Jaltomata_darcyana,0
Jaltomata_repandidentata,0
Jaltomata_procumbens,0
Jaltomata_chihuahuensis,0
Jaltomata_grandiflora,0
Jaltomata_antillana,0
Jaltomata_auriculata,0
Jaltomata_oppositifolia,0
Jaltomata_salpoensis,0
Jaltomata_andersonii,0
Jaltomata_lezamae,0
Jaltomata_sinuosa,0
Jaltomata_viridiflora,0
Jaltomata_contumacensis,0
Jaltomata_biflora,0
Jaltomata_dentata,0
Jaltomata_bicolor,0
Jaltomata_umbellata,0
Jaltomata_cajacayensis,0
Jaltomata_lomana,0
Jaltomata_mionei,0
Jaltomata_aspera,0
Jaltomata_lojae,0
Jaltomata_lanata,0
Jaltomata_bernardelloana,0
Jaltomata_sagastegui,0
Jaltomata_paneroi,0
Jaltomata_herrerae,0
Jaltomata_yacheri,0
Jaltomata_weberbaueri,0
Jaltomata_ventricosa,0
Jaltomata_sanchez-vegae,0
Solanum_terminale,0
Solanum_trisectum,0
Solanum_capsiciforme,0
Solanum_simile,0
Solanum_symonii,0
Solanum_vescum,0
Solanum_laciniatum,0
Solanum_aviculare,0
Solanum_laxum,1
Solanum_crispum,1
Solanum_dulcamara,0
Solanum_palitans,0
Solanum_tripartitum,0
