Name,Ploidy,BS,Ploidybs
Pantacantha_ameghinoi,D,Unknown,Diploid
Combera_paradoxa,D,Unknown,Diploid
Salpiglossis_sinuata,P,C,CP
Browallia_speciosa,P,C,CP
Streptosolen_jamesonii,D,Unknown,Diploid
Sessea_corymbiflora,D,Unknown,Diploid
Cestrum_megalophyllum,D,I,ID
Cestrum_strigilatum,D,Unknown,Diploid
Cestrum_diurnum,D,Unknown,Diploid
Cestrum_tomentosum,D,Unknown,Diploid
Cestrum_nocturnum,D,C,CD
Cestrum_aurantiacum,D,C,CD
Cestrum_elegans,D,Unknown,Diploid
Cestrum_fasciculatum,D,C,CD
Schwenckia_lateriflora,D,Unknown,Diploid
Metternichia_princeps,D,Unknown,Diploid
Espadaea_amoena,P,C,CP
Goetzea_elegans,D,I,ID
Schizanthus_laetus,Unknown,C,Compatible
Schizanthus_litoralis,Unknown,C,Compatible
Schizanthus_porrigens,Unknown,C,Compatible
Schizanthus_pinnatus,D,C,CD
Schizanthus_parvulus,Unknown,C,Compatible
Schizanthus_tricolor,Unknown,C,Compatible
Schizanthus_grahamii,D,C,CD
Schizanthus_hookeri,D,C,CD
Schizanthus_alpestris,Unknown,C,Compatible
Schizanthus_candidus,Unknown,C,Compatible
Schizanthus_integrifolius,Unknown,C,Compatible
Schizanthus_lacteus,Unknown,C,Compatible
Fabiana_imbricata,D,Unknown,Diploid
Calibrachoa_sellowiana,D,I,ID
Calibrachoa_parviflora,D,C,CD
Calibrachoa_pygmea,D,I,ID
Petunia_axillaris,D,I,ID
Petunia_exserta,D,C,CD
Petunia_integrifolia,D,I,ID
Petunia_mantiqueirensis,D,I,ID
Petunia_bonjardinensis,D,I,ID
Petunia_scheideana,D,I,ID
Petunia_secreta,D,Unknown,Diploid
Petunia_altiplana,D,I,ID
Petunia_reitzii,D,I,ID
Petunia_saxicola,D,I,ID
Brunfelsia_americana,D,I,ID
Bouchetia_anomala,D,Unknown,Diploid
Bouchetia_erecta,D,Unknown,Diploid
Hunzikeria_texana,P,C,CP
Nierembergia_rivularis,D,Unknown,Diploid
Nierembergia_repens,D,Unknown,Diploid
Nierembergia_graveolens,D,Unknown,Diploid
Nierembergia_aristata,P,C,CP
Nierembergia_veitchii,D,Unknown,Diploid
Nierembergia_calycina,D,Unknown,Diploid
Nierembergia_linariifolia,D,I,ID
Nierembergia_scoparia,D,Unknown,Diploid
Nierembergia_ericoides,D,Unknown,Diploid
Nierembergia_tucumanensis,D,Unknown,Diploid
