"","Species","ID","CD","CP"
"1","Pantacantha_ameghinoi",1,1,0
"2","Combera_paradoxa",1,1,0
"3","Salpiglossis_sinuata",0,0,1
"4","Browallia_speciosa",0,0,1
"5","Streptosolen_jamesonii",1,1,0
"6","Sessea_corymbiflora",1,1,0
"7","Cestrum_megalophyllum",1,0,0
"8","Cestrum_strigilatum",1,1,0
"9","Cestrum_diurnum",1,1,0
"10","Cestrum_tomentosum",1,1,0
"11","Cestrum_nocturnum",0,1,0
"12","Cestrum_aurantiacum",0,1,0
"13","Cestrum_elegans",1,1,0
"14","Cestrum_fasciculatum",0,1,0
"15","Schwenckia_lateriflora",1,1,0
"16","Metternichia_princeps",1,1,0
"17","Espadaea_amoena",0,0,1
"18","Goetzea_elegans",1,0,0
"19","Schizanthus_laetus",0,1,1
"20","Schizanthus_litoralis",0,1,1
"21","Schizanthus_porrigens",0,1,1
"22","Schizanthus_pinnatus",0,1,0
"23","Schizanthus_parvulus",0,1,1
"24","Schizanthus_tricolor",0,1,1
"25","Schizanthus_grahamii",0,1,0
"26","Schizanthus_hookeri",0,1,0
"27","Schizanthus_alpestris",0,1,1
"28","Schizanthus_candidus",0,1,1
"29","Schizanthus_integrifolius",0,1,1
"30","Schizanthus_lacteus",0,1,1
"31","Fabiana_imbricata",1,1,0
"32","Calibrachoa_sellowiana",1,0,0
"33","Calibrachoa_parviflora",0,1,0
"34","Calibrachoa_pygmea",1,0,0
"35","Petunia_axillaris",1,0,0
"36","Petunia_exserta",0,1,0
"37","Petunia_integrifolia",1,0,0
"38","Petunia_mantiqueirensis",1,0,0
"39","Petunia_bonjardinensis",1,0,0
"40","Petunia_scheideana",1,0,0
"41","Petunia_secreta",1,1,0
"42","Petunia_altiplana",1,0,0
"43","Petunia_reitzii",1,0,0
"44","Petunia_saxicola",1,0,0
"45","Brunfelsia_americana",1,0,0
"46","Bouchetia_anomala",1,1,0
"47","Bouchetia_erecta",1,1,0
"48","Hunzikeria_texana",0,0,1
"49","Nierembergia_rivularis",1,1,0
"50","Nierembergia_repens",1,1,0
"51","Nierembergia_graveolens",1,1,0
"52","Nierembergia_aristata",0,0,1
"53","Nierembergia_veitchii",1,1,0
"54","Nierembergia_calycina",1,1,0
"55","Nierembergia_linariifolia",1,0,0
"56","Nierembergia_scoparia",1,1,0
"57","Nierembergia_ericoides",1,1,0
"58","Nierembergia_tucumanensis",1,1,0
"59","Nierembergia_browallioides",1,1,0
"60","Nierembergia_pulchella",1,1,0
"61","Symonanthus_aromaticus",0,0,1
"62","Symonanthus_bancroftii",0,0,1
"63","Anthocercis_gracilis",0,0,1
"64","Anthocercis_ilicifolia",0,0,1
"65","Anthocercis_littorea",0,0,1
"66","Anthocercis_angustifolia",0,0,1
"67","Anthocercis_viscosa",0,0,1
"68","Anthocercis_intricata",0,0,1
"69","Cyphanthera_odgersii",0,0,1
"70","Grammosolen_dixonii",0,0,1
"71","Grammosolen_truncatus",0,0,1
"72","Anthotroche_walcottii",0,0,1
"73","Anthotroche_pannosa",0,0,1
"74","Anthotroche_myoporoides",0,0,1
"75","Cyphanthera_microphylla",0,0,1
"76","Crenidium_spinescens",0,0,1
"77","Cyphanthera_anthocercidea",0,0,1
"78","Duboisia_leichhardtii",0,0,1
"79","Duboisia_hopwoodii",0,0,1
"80","Cyphanthera_albicans",0,0,1
"81","Duboisia_myoporoides",0,0,1
"82","Nicotiana_otophora",0,1,0
"83","Nicotiana_kawakamii",1,1,0
"84","Nicotiana_tomentosa",1,0,0
"85","Nicotiana_tomentosiformis",0,1,0
"86","Nicotiana_thyrsiflora",1,1,0
"87","Nicotiana_wigandioides",0,1,0
"88","Nicotiana_glutinosa",0,1,0
"89","Nicotiana_arentsii",0,0,1
"90","Nicotiana_undulata",0,1,0
"91","Nicotiana_benavidesii",0,1,0
"92","Nicotiana_raimondii",1,1,0
"93","Nicotiana_cordifolia",0,1,0
"94","Nicotiana_solanifolia",0,1,0
"95","Nicotiana_paniculata",0,1,0
"96","Nicotiana_knightiana",0,1,0
"97","Nicotiana_rustica",0,0,1
"98","Nicotiana_clevelandii",0,0,1
"99","Nicotiana_quadrivalvis",0,0,1
"100","Nicotiana_obtusifolia",0,1,0
"101","Nicotiana_linearis",0,1,0
"102","Nicotiana_spegazzinii",1,1,0
"103","Nicotiana_miersii",0,1,0
"104","Nicotiana_corymbosa",0,1,0
"105","Nicotiana_acuminata",1,1,0
"106","Nicotiana_pauciflora",1,1,0
"107","Nicotiana_sylvestris",0,1,0
"108","Nicotiana_nudicaulis",0,0,1
"109","Nicotiana_repanda",0,0,1
"110","Nicotiana_nesophila",0,0,1
"111","Nicotiana_stocktonii",0,0,1
"112","Nicotiana_alata",1,0,0
"113","Nicotiana_langsdorffii",1,0,0
"114","Nicotiana_bonariensis",1,0,0
"115","Nicotiana_forgetiana",1,0,0
"116","Nicotiana_longiflora",0,1,0
"117","Nicotiana_plumbaginifolia",1,0,0
"118","Nicotiana_acaulis",0,1,0
"119","Nicotiana_glauca",1,0,0
"120","Nicotiana_noctiflora",1,0,0
"121","Nicotiana_petunioides",1,0,0
"122","Nicotiana_forsteri",0,0,1
"123","Nicotiana_occidentalis",0,0,1
"124","Nicotiana_umbratica",0,0,1
"125","Nicotiana_megalosiphon",0,0,1
"126","Nicotiana_simulans",0,0,1
"127","Nicotiana_excelsior",0,0,1
"128","Nicotiana_maritima",0,0,1
"129","Nicotiana_amplexicaulis",0,0,1
"130","Nicotiana_suaveolens",0,0,1
"131","Nicotiana_cavicola",0,1,1
"132","Nicotiana_goodspeedii",0,0,1
"133","Nicotiana_gossei",0,0,1
"134","Nicotiana_rotundifolia",0,0,1
"135","Nicotiana_rosulata",0,0,1
"136","Nicotiana_velutina",0,0,1
"137","Latua_pubiflora",1,1,0
"138","Jaborosa_integrifolia",1,0,0
"139","Jaborosa_sativa",1,1,0
"140","Atropa_belladonna",0,0,1
"141","Atropa_komarovii",0,0,1
"142","Anisodus_tanguticus",0,0,1
"143","Anisodus_carniolicoides",0,0,1
"144","Anisodus_acutangulus",0,0,1
"145","Hyoscyamus_turcomanicus",0,0,1
"146","Hyoscyamus_pusillus",0,0,1
"147","Hyoscyamus_albus",0,0,1
"148","Hyoscyamus_niger",0,0,1
"149","Hyoscyamus_muticus",0,1,0
"150","Hyoscyamus_desertorum",0,0,1
"151","Atropanthe_sinensis",0,0,1
"152","Scopolia_japonica",0,0,1
"153","Scopolia_carniolica",0,0,1
"154","Scopolia_parviflora",0,0,1
"155","Przewalskia_tangutica",0,0,1
"156","Physochlaina_praealta",0,0,1
"157","Physochlaina_orientalis",1,1,0
"158","Sclerophylax_arnottii",0,0,1
"159","Nolana_elegans",1,0,0
"160","Nolana_rupicola",1,0,0
"161","Nolana_acuminata",1,0,0
"162","Nolana_rostrata",1,0,0
"163","Nolana_adansonii",1,0,0
"164","Nolana_galapagensis",1,1,0
"165","Nolana_plicata",1,0,0
"166","Nolana_aticoana",1,0,0
"167","Nolana_humifusa",1,0,0
"168","Nolana_laxa",1,0,0
"169","Lycium_tetrandrum",0,0,1
"170","Lycium_acutifolium",1,1,0
"171","Lycium_bosciifolium",1,1,0
"172","Lycium_hirsutum",1,0,0
"173","Lycium_villosum",0,0,1
"174","Lycium_eenii",1,1,0
"175","Lycium_schweinfurthii",1,1,0
"176","Lycium_shawii",1,1,0
"177","Lycium_depressum",1,1,0
"178","Lycium_ruthenicum",1,1,0
"179","Lycium_decumbens",1,1,0
"180","Lycium_pumilum",1,0,0
"181","Lycium_oxycarpum",1,1,0
"182","Lycium_pilifolium",1,1,0
"183","Lycium_gariepense",0,1,1
"184","Lycium_tenue",1,1,0
"185","Lycium_strandveldense",0,0,1
"186","Lycium_amoenum",1,1,0
"187","Lycium_grandicalyx",1,1,0
"188","Lycium_arenicola",0,0,1
"189","Lycium_cinereum",1,0,0
"190","Lycium_afrum",1,1,0
"191","Lycium_ferocissimum",1,0,0
"192","Lycium_horridum",0,0,1
"193","Lycium_schizocalyx",1,1,0
"194","Lycium_boerhaviifolium",1,0,0
"195","Lycium_pallidum",1,0,0
"196","Lycium_cooperi",1,0,0
"197","Lycium_macrodon",1,0,0
"198","Lycium_puberulum",1,0,0
"199","Lycium_californicum",1,0,1
"200","Lycium_nodosum",1,1,0
"201","Lycium_vimineum",1,1,0
"202","Lycium_gilliesianum",1,1,0
"203","Lycium_ameghinoi",1,1,0
"204","Lycium_chanar",1,1,0
"205","Lycium_fuscum",1,1,0
"206","Lycium_minutifolium",1,1,0
"207","Lycium_stenophyllum",1,1,0
"208","Lycium_cestroides",1,0,0
"209","Lycium_cuneatum",1,1,0
"210","Lycium_morongii",1,1,0
"211","Lycium_brevipes",1,0,0
"212","Lycium_carolinianum",1,1,0
"213","Lycium_rachidocladum",1,1,0
"214","Lycium_tenuispinosum",1,1,0
"215","Lycium_elongatum",1,1,0
"216","Lycium_americanum",1,1,0
"217","Lycium_infaustum",1,1,0
"218","Lycium_minimum",0,0,1
"219","Lycium_parishii",1,0,0
"220","Lycium_torreyi",1,0,0
"221","Lycium_andersonii",1,0,0
"222","Lycium_berlandieri",1,0,0
"223","Lycium_exsertum",0,1,1
"224","Lycium_fremontii",0,0,1
"225","Exodeconus_miersii",1,1,0
"226","Solandra_grandiflora",1,0,0
"227","Dyssochroma_viridiflora",1,0,0
"228","Mandragora_caulescens",0,0,1
"229","Nicandra_physalodes",0,1,0
"230","Brugmansia_sanguinea",1,0,0
"231","Brugmansia_arborea",1,1,0
"232","Brugmansia_aurea",1,0,0
"233","Datura_discolor",0,1,0
"234","Datura_metel",0,1,1
"235","Datura_inoxia",0,1,0
"236","Datura_leichhardtii",0,1,0
"237","Datura_ferox",0,1,0
"238","Datura_quercifolia",0,1,0
"239","Datura_stramonium",0,1,0
"240","Datura_ceratocaula",0,1,0
"241","Salpichroa_origanifolia",1,0,0
"242","Lycianthes_shanesii",1,1,0
"243","Lycianthes_biflora",0,0,1
"244","Lycianthes_multiflora",1,1,0
"245","Lycianthes_jalicensis",1,1,0
"246","Lycianthes_heteroclita",0,1,1
"247","Lycianthes_lycioides",1,1,0
"248","Lycianthes_rantonnetii",1,0,0
"249","Lycianthes_asarifolia",1,0,0
"250","Lycianthes_acapulcensis",1,1,0
"251","Lycianthes_ciliolata",1,0,0
"252","Lycianthes_moziniana",1,1,0
"253","Lycianthes_rzedowskii",1,1,0
"254","Lycianthes_dejecta",1,1,0
"255","Lycianthes_peduncularis",1,1,0
"256","Capsicum_geminifolium",1,1,0
