taxa,ploidysi
Salpiglossis_sinuata,1
Cestrum_nocturnum,0
Cestrum_aurantiacum,0
Cestrum_fasciculatum,0
Schizanthus_pinnatus,0
Schizanthus_grahamii,0
Calibrachoa_sellowiana,2
Calibrachoa_parviflora,0
Calibrachoa_pygmea,2
Petunia_axillaris,0
Petunia_integrifolia,2
Petunia_mantiqueirensis,2
Petunia_bonjardinensis,2
Petunia_altiplana,2
Brunfelsia_americana,2
Nierembergia_linariifolia,2
Nicotiana_tabacum,1
Nicotiana_otophora,0
Nicotiana_tomentosa,2
Nicotiana_tomentosiformis,0
Nicotiana_wigandioides,0
Nicotiana_glutinosa,0
Nicotiana_undulata,0
Nicotiana_benavidesii,0
Nicotiana_cordifolia,0
Nicotiana_solanifolia,0
Nicotiana_paniculata,0
Nicotiana_knightiana,0
Nicotiana_rustica,1
Nicotiana_quadrivalvis,1
Nicotiana_obtusifolia,0
Nicotiana_linearis,0
Nicotiana_miersii,0
Nicotiana_corymbosa,0
Nicotiana_sylvestris,0
Nicotiana_repanda,1
Nicotiana_stocktonii,1
Nicotiana_alata,2
Nicotiana_bonariensis,2
Nicotiana_forgetiana,2
Nicotiana_longiflora,0
Nicotiana_plumbaginifolia,0
Nicotiana_africana,1
Nicotiana_acaulis,0
Nicotiana_noctiflora,2
Nicotiana_petunioides,2
Nicotiana_gossei,1
Nicotiana_rosulata,1
Jaborosa_integrifolia,2
Atropa_belladonna,1
Anisodus_tanguticus,1
Hyoscyamus_albus,0
Hyoscyamus_niger,0
Hyoscyamus_muticus,0
Nolana_rostrata,2
Lycium_hirsutum,2
Lycium_cinereum,2
Lycium_pallidum,2
Lycium_cooperi,2
Lycium_berlandieri,2
Solandra_grandiflora,2
Dyssochroma_viridiflora,2
Nicandra_physalodes,0
Brugmansia_sanguinea,2
Brugmansia_aurea,2
Datura_discolor,0
Datura_metel,0
Datura_leichhardtii,0
Datura_ferox,0
Datura_quercifolia,0
Datura_stramonium,0
Datura_ceratocaula,0
Salpichroa_origanifolia,2
Lycianthes_ciliolata,2
Capsicum_rhomboideum,0
Capsicum_villosum,0
Capsicum_schottianum,0
Capsicum_flexuosum,0
Capsicum_eximium,0
Capsicum_pubescens,0
Capsicum_chacoense,0
Capsicum_baccatum,0
Capsicum_annuum,0
Capsicum_chinense,0
Withania_somnifera,1
Vassobia_breviflora,0
Eriolarynx_lorentzii,2
Acnistus_arborescens,0
Witheringia_macrantha,2
Physalis_longifolia,2
Physalis_pruinosa,0
Physalis_angulata,1
Physalis_pubescens,0
Physalis_heterophylla,0
Physalis_viscosa,2
Jaltomata_procumbens,0
Jaltomata_viridiflora,0
Jaltomata_sagastegui,0
Jaltomata_ventricosa,0
Solanum_capsiciforme,1
