idnumber,source,fullname,genus,species,cultivarhybrid,csomenumber,lifehistoryclean,ploidy,selfincomp,ploidybyZF,namechangedfrom
1,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
2,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
3,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
4,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
5,EEG,Acnistus_arborescens,Acnistus,arborescens,,,,,,,
6,EEG,Acnistus_arborescens,Acnistus,arborescens,,,,,,,
7,RZF,Acnistus_parviflorus,Acnistus,parviflorus,,24,,2,,,
8,RZF,Acnistus_parviflorus,Acnistus,parviflorus,,24,,2,,,
9,EEG,Alona_stenophylla,Alona,stenophylla,,,,,,,
10,RZF,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
11,RZF,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
12,EEG,Anisodus_acutangulus,Anisodus,acutangulus,,,,,,,
13,EEG,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
14,EEG,Anisodus_carniolicoides,Anisodus,carniolicoides,,48,P,4,SC,,
15,EEG,Anisodus_carniolicoides,Anisodus,carniolicoides,,48,P,4,SC,,
16,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
17,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
18,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
19,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
20,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
21,RZF,Anisodus_luridus,Anisodus,luridus,,50,P,8,,,
22,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
23,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
24,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
25,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
26,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
27,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
28,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
29,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
30,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
31,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,48,P,8,SC,,
32,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,48,P,8,SC,,
33,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,42,P,8,SC,,
34,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
35,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
36,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
37,EEG,Anthocercis_angustifolia,Anthocercis,angustifolia,,72,,6,SC,,
38,EEG,Anthocercis_angustifolia,Anthocercis,angustifolia,,,,,,,
39,RZF,Anthocercis_anisantha,Anthocercis,anisantha,,72,,,,,
40,EEG,Anthocercis_anisantha,Anthocercis,anisantha,,,,,,,
41,EEG,Anthocercis_anisantha,Anthocercis,anisantha,,,,,,,
42,EEG,Anthocercis_fasciculata,Anthocercis,fasciculata,,72,,,,,
43,RZF,Anthocercis_genistoides,Anthocercis,genistoides,,72,,,,,
44,EEG,Anthocercis_genistoides,Anthocercis,genistoides,,,,,,,
45,RZF,Anthocercis_gracilis,Anthocercis,gracilis,,72,,6,SC,,
46,EEG,Anthocercis_gracilis,Anthocercis,gracilis,,,,,,,
47,RZF,Anthocercis_ilicifolia,Anthocercis,ilicifolia,,72,,6,SC,,
48,EEG,Anthocercis_ilicifolia,Anthocercis,ilicifolia,,,,,,,
49,EEG,Anthocercis_intricata,Anthocercis,intricata,,72,,6,SC,,
50,RZF,Anthocercis_littorea,Anthocercis,littorea,,72,,6,SC,,
51,EEG,Anthocercis_littorea,Anthocercis,littorea,,,,,,,
52,EEG,Anthocercis_sylvicola,Anthocercis,sylvicola,,,,,,,
53,RZF,Anthocercis_viscosa,Anthocercis,viscosa,,72,,6,SC,,
54,EEG,Anthocercis_viscosa,Anthocercis,viscosa,,,,,,,
55,EEG,Anthotroche_myoporoides,Anthotroche,myoporoides,,62,,5,SC,,
56,RZF,Anthotroche_pannosa,Anthotroche,pannosa,,62,,5,SC,,
57,EEG,Anthotroche_pannosa,Anthotroche,pannosa,,,,,,,
58,EEG,Anthotroche_walcottii,Anthotroche,walcottii,,62,,5,SC,,
59,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
60,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
61,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
62,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
63,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
64,RZF,Athenaea_picta,Athenaea,picta,,24,,,,,
65,RZF,Athenaea_picta,Athenaea,picta,,24,P,2,,,
66,EEG,Athenaea_picta,Athenaea,picta,,,,,,,
67,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
68,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
69,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
70,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
71,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
72,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
73,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
74,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
75,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
76,EEG,Atropa_acuminata,Atropa,acuminata,,,,,,,
77,EEG,Atropa_acuminata,Atropa,acuminata,,,,,,,
78,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
79,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
80,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
81,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
82,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
83,EEG,Atropa_baetica,Atropa,baetica,,,,,,,
84,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
85,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
86,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
87,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
88,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
89,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
90,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
91,RZF,Atropa_belladonna,Atropa,belladonna,,60,P,10,SC,,
92,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
93,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
94,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
95,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
96,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
97,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
98,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
99,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
100,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
101,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
102,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
103,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
104,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
105,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
106,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
107,RZF,Atropa_belladonna,Atropa,belladonna,,108,P,48,SC,,
108,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
109,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
110,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
111,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
112,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
113,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
114,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
115,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
116,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
117,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
118,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
119,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
120,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
121,EEG,Atropa_caucasica,Atropa,caucasica,,,,,,,
122,RZF,Atropa_komarovii,Atropa,komarovii,,74,,6,SC,1,
123,EEG,Atropa_komarovii,Atropa,komarovii,,74,,,,,
124,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
125,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
126,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
127,EEG,Atropanthe_sinensis,Atropanthe,sinensis,,,,,,,
128,EEG,Atropanthe_sinensis,Atropanthe,sinensis,,,,,,,
129,EEG,Aureliana_angustifolia,Aureliana,angustifolia,,,,,,,
130,EEG,Aureliana_darcyi,Aureliana,darcyi,,,,,,,
131,EEG,Aureliana_sellowiana,Aureliana,sellowiana,,24,,,,,
132,EEG,Benthamiella_nordenskjoldii,Benthamiella,nordenskjoldii,,,P,,SI,,
133,RZF,Benthamiella_pycnophylloides,Benthamiella,pycnophylloides,,22,,2,,,
134,EEG,Benthamiella_pycnophylloides,Benthamiella,pycnophylloides,,,,,,,
