Species,ID,CD,CP
Acnistus_arborescens,0,1,0
Anisodus_acutangulus,0,0,1
Anisodus_carniolicoides,0,0,1
Anisodus_luridus,0.333333333,0.333333333,0.333333333
Anisodus_tanguticus,0,0,1
Anthocercis_angustifolia,0,0,1
Anthocercis_anisantha,0,0,1
Anthocercis_fasciculata,0,0,1
Anthocercis_genistoides,0,0,1
Anthocercis_gracilis,0,0,1
Anthocercis_ilicifolia,0,0,1
Anthocercis_intricata,0,0,1
Anthocercis_littorea,0,0,1
Anthocercis_viscosa,0,0,1
Anthotroche_myoporoides,0,0,1
Anthotroche_pannosa,0,0,1
Anthotroche_walcottii,0,0,1
Athenaea_picta,0.5,0.5,0
Atropa_acuminata,0,0,1
Atropa_belladonna,0,0,1
Atropa_komarovii,0,0,1
Atropanthe_sinensis,0,0,1
Aureliana_sellowiana,0.5,0.5,0
Benthamiella_nordenskjoldii,1,0,0
Benthamiella_pycnophylloides,0.333333333,0.333333333,0.333333333
Bouchetia_anomala,0.5,0.5,0
Bouchetia_erecta,0.5,0.5,0
Brachistus_stramoniifolius,0,0.5,0.5
Browallia_americana,0,0.5,0.5
Brugmansia_arborea,0.5,0.5,0
Brugmansia_aurea,1,0,0
Brugmansia_sanguinea,1,0,0
Brugmansia_suaveolens,1,0,0
Brugmansia_versicolor,1,0,0
Brunfelsia_americana,1,0,0
Brunfelsia_australis,0.5,0.5,0
Brunfelsia_densifolia,1,0,0
Brunfelsia_dwyeri,1,0,0
Brunfelsia_grandiflora,0.5,0.5,0
Brunfelsia_lactea,0.5,0.5,0
Brunfelsia_latifolia,1,0,0
Brunfelsia_nitida,1,0,0
Brunfelsia_pauciflora,1,0,0
Brunfelsia_undulata,1,0,0
Calibrachoa_caesia,1,0,0
Calibrachoa_calycina,1,0,0
Calibrachoa_dusenii,1,0,0
Calibrachoa_eglandulata,1,0,0
Calibrachoa_elegans,1,0,0
Calibrachoa_ericifolia,1,0,0
Calibrachoa_excellens,1,0,0
Calibrachoa_heterophylla,1,0,0
Calibrachoa_linearis,1,0,0
Calibrachoa_linoides,1,0,0
Calibrachoa_macrodactylon,1,0,0
Calibrachoa_micrantha,1,0,0
Calibrachoa_parviflora,0,1,0
Calibrachoa_pubescens,1,0,0
Calibrachoa_pygmea,1,0,0
Calibrachoa_rupestris,1,0,0
Calibrachoa_sellowiana,1,0,0
Calibrachoa_sendtneriana,1,0,0
Calibrachoa_serrulata,1,0,0
Calibrachoa_spathulata,0.5,0.5,0
Calibrachoa_thymifolia,1,0,0
Capsicum_annuum,0,1,0
Capsicum_baccatum,0,1,0
Capsicum_buforum,1,0,0
Capsicum_caatingae,0.5,0.5,0
Capsicum_campylopodium,0.5,0.5,0
Capsicum_cardenasii,1,0,0
Capsicum_chacoense,0,1,0
Capsicum_chinense,0,1,0
Capsicum_ciliatum,0,1,0
Capsicum_coccineum,0.5,0.5,0
Capsicum_cornutum,0.5,0.5,0
Capsicum_dimorphum,0.5,0.5,0
Capsicum_dusenii,0,1,0
Capsicum_eximium,1,0,0
Capsicum_flexuosum,0,1,0
Capsicum_friburgense,0.5,0.5,0
Capsicum_frutescens,0,1,0
Capsicum_galapagoensis,0,1,0
Capsicum_geminifolium,0.5,0.5,0
Capsicum_hookerianum,0.5,0.5,0
Capsicum_lanceolatum,0,1,0
Capsicum_longidentatum,0.5,0.5,0
Capsicum_mirabile,0.5,0.5,0
Capsicum_parvifolium,0,1,0
