"","Parameter","MAP","Median","Left bound CI","Right bound CI"
"1","Speciation D",1.31344072015656,1.31167,1.07681,1.58986
"2","Speciation P",0.58367602739726,0.596378,0.32726,1.08252
"3","Extinction D",0.931967569471624,0.930301,0.619244,1.28086
"4","Extinction P",0.474078761643836,0.48785,0.163407,1.01696
"5","Net Div D",0.379058802348337,0.381501,0.28514,0.480595
"6","Net Div P",0.107586595107632,0.109272,0.0407509999999999,0.184181
"7","Rel Ext D",0.706812476746377,0.709498611244134,0.569100605157146,0.813141821149742
"8","Rel Ext P",0.808084936059146,0.818495439549481,0.489408315281264,0.955910580622449
"9","rho",0.0344496926027397,0.03327308,0.02192661,0.04898164
"10","delta",0.0537925613698629,0.0499501,0.02455713,0.09666752
