"","Parameter","MAP","Left bound CI","Right bound CI"
"1","Speciation DA",1.01045204305284,0.869417,1.19842
"2","Speciation PA",0.795140763209393,0.590145,1.08357
"3","Speciation DB",1.06673722113503,0.901497,1.28435
"4","Speciation PB",0.830733428571429,0.615605,1.15204
"5","Extinction DA",0.304241191780822,0.122213,0.56736
"6","Extinction PA",0.203668695890411,0.0742131,0.434733
"7","Extinction DB",0.967697334637965,0.777471,1.21151
"8","Extinction PB",0.638717132876712,0.363554,1.08923
"9","Net Div DA",0.701075756164384,0.591229,0.84736
"10","Net Div PA",0.589011217221135,0.418082,0.782544
"11","Net Div DB",0.0961845988258316,0.000219999999999887,0.190382
"12","Net Div PB",0.180423784735812,-0.024087,0.374293
"13","Rel Ext DA",0.30255246026567,0.132890500101326,0.482096972449052
"14","Rel Ext PA",0.259723900121254,0.108200591452197,0.455761084670363
"15","Rel Ext DB",0.907434431550227,0.817851332062326,0.999803374803375
"16","Rel Ext PB",0.780140470748152,0.520018432150138,1.02587606702427
"17","rho",0.0266359605890409,0.01419649,0.04182308
"18","delta",0.162133643938317,0.02940626,0.3273535
"19","alpha",0.00289511532720177,0.001827661,0.007634482
