"","Parameter","MAP","Median","Left bound CI","Right bound CI"
"1","Speciation CA",0.616508499021526,0.612862,0.424816,0.876062
"2","Speciation IA",0.478908152641879,0.476908,0.315462,0.701334
"3","Speciation CB",1.26026850097847,1.26287,0.97616,1.63097
"4","Speciation IB",0.97109256555773,0.96905,0.782473,1.23769
"5","Extinction CA",0.673123315068493,0.680979,0.410886,1.19268
"6","Extinction IA",0.0869244988571429,0.0743751,0.0118056,0.280989
"7","Extinction CB",0.663824929941291,0.674528,0.219563,1.19255
"8","Extinction IB",0.0815764037729942,0.0698359,0.0103195,0.251308
"9","Net Div CA",-0.0627045440313103,-0.0587420000000001,-0.434508,0.067015
"10","Net Div IA",0.384111861643836,0.386007,0.254004,0.547155
"11","Net Div CB",0.598058493150685,0.605805,0.305,0.827075
"12","Net Div IB",0.888283747945206,0.8767429,0.7048014,1.1465144
"13","Rel Ext CA",1.09359773257471,1.09423998895732,0.874200404581613,1.64088929501886
"14","Rel Ext IA",0.16940721781444,0.162799858822994,0.0283866336234064,0.44824140330841
"15","Rel Ext CB",0.532526377390565,0.529386940461532,0.217165326569187,0.783224468209323
"16","Rel Ext IB",0.0836991623912371,0.0726600900722921,0.0107404543515358,0.239070311163489
"17","q_IC",0.26404510960861,0.2608301,0.1560966,0.4073348
"18","alpha",0.0115069296203524,0.009895836,0.004261767,0.02044889
