"","Parameter","MAP","Median","Left bound CI","Right bound CI"
"1","Speciation CD",1.80883148727984,1.81263,1.4489,2.28069
"2","Speciation P",1.26417575342466,1.29615,0.846127,1.97847
"3","Speciation ID",1.22079120156556,1.22533,0.941289,1.58634
"4","Extinction CD",1.75615326810176,1.76266,1.36082,2.2646
"5","Extinction P",1.28112080039139,1.32012,0.820942,2.0464
"6","Extinction ID",0.771436476125245,0.775194,0.363829,1.21722
"7","Net Div CD",0.0499753424657536,0.0500499999999999,-0.04298,0.14703
"8","Net Div P",-0.0274283561643835,-0.0271600000000001,-0.17304,0.1393
"9","Net Div ID",0.453026568297456,0.44929,0.33534,0.614149
"10","Rel Ext CD",0.969409308052364,0.972584064649564,0.911294666906087,1.02246880566013
"11","Rel Ext P",1.01638745908986,1.02029155851576,0.877325121394995,1.13547145606158
"12","Rel Ext ID",0.630429384515873,0.633448254019962,0.37895897591613,0.775924399472977
"13","rho_C",0.0253754386773678,0.0237193,0.005045683,0.06141864
"14","delta",0.0319865839930272,0.02222778,5.925921e-05,0.1193456
"15","q_IC",0.196875961330724,0.1941343,0.1161983,0.324572
"16","rho_I",0.0674694801761251,0.0627374,0.03395301,0.1101421
