"","Parameter","MAP","Median","Left bound CI","Right bound CI"
"1","Speciation CD",0.575909301369863,0.570908,0.3779765,0.8840649
"2","Speciation P",0.429405297455969,0.427111,0.258753,0.689771849999999
"3","Speciation ID",0.397128397260274,0.385753,0.28819435,0.602578
"4","Speciation CD",1.26892597847358,1.2717,0.9564196,1.679661
"5","Speciation P",0.940865273972603,0.950485,0.6111176,1.426033
"6","Speciation ID",0.870367205479452,0.862893,0.75835,1.0863955
"7","Extinction CD",0.715112416829746,0.829188,0.4001019,2.50943199999999
"8","Extinction P",0.284441901643836,0.30833,0.03309559,0.836788199999999
"9","Extinction ID",0.0689224939921723,0.0591238,0.010079535,0.214631
"10","Extinction CD",0.770182859099805,0.778809,0.3122299,1.30321
"11","Extinction P",0.224731377221135,0.276569,0.015682535,1.00779
"12","Extinction ID",0.0599214805264187,0.0503025,0.0070334315,0.210979949999999
"13","Net Div CD",-0.17410278669276,-0.247523,-1.7637449,0.0530417499999999
"14","Net Div P",0.107388347945205,0.109787,-0.325061,0.49100646
"15","Net Div ID",0.32399814481409,0.3178768,0.23352134,0.494560045
"16","Net Div CD",0.495546105675147,0.493642,0.29753725,0.72016365
"17","Net Div P",0.64047072407045,0.633897,0.2000034,1.09227124
"18","Net Div ID",0.804197714285715,0.7983682,0.700374285,1.022544575
"19","Rel Ext CD",1.23112240049303,1.43796843311877,0.894864377441321,3.5737959043421
"20","Rel Ext P",0.563360239051082,0.742535861901289,0.0749523676540872,1.74905999759023
"21","Rel Ext ID",0.160903418643555,0.153695300268025,0.02849489509394,0.426437803935881
"22","Rel Ext CD",0.61061327719112,0.613013878536187,0.3145944135948,0.802962742095063
"23","Rel Ext P",0.244564694372539,0.306180405697022,0.0167925398426613,0.813606739671613
"24","Rel Ext ID",0.0687633766826633,0.0583167241028749,0.00822985381360889,0.219597955777189
"25","rho_C",0.0142755780824572,0.01056049,0.00023482059,0.0425907895
"26","delta",0.123119298432585,0.1071586,0.009754697,0.4688774
"27","q_IC",0.173517887729941,0.1638956,0.097333184,0.30694862
"28","rho_I",0.0473895621330724,0.04683559,0.0253672,0.08623003
"29","alpha",0.0134707111780823,0.01244355,0.0058979536,0.023044254
