"","Parameter","MAP","Left bound CI","Right bound CI"
"1","Speciation CD",1.79883078277886,1.43698,2.27002
"2","Speciation P",1.28936943052838,0.852005,2.02959
"3","Speciation ID",1.21762012524462,0.934184,1.5449
"4","Extinction CD",1.72809780821918,1.33332,2.24042
"5","Extinction P",1.37645556164383,0.91908,2.14442
"6","Extinction ID",0.762053071624266,0.351151,1.16477
"7","Net Div CD",0.0684452250489236,-0.0274800000000002,0.15823
"8","Net Div P",-0.0876774559686888,-0.20657,0.012347
"9","Net Div ID",0.460651244618395,0.34119,0.622318
"10","Rel Ext CD",0.960900647205828,0.902524922424789,1.01436792726569
"11","Rel Ext P",1.07039791867028,0.990344848911187,1.16461998661786
"12","Rel Ext ID",0.618237642899991,0.367741881711412,0.765014028374604
"13","rho_C",0.0369773913620353,0.009959349,0.07062017
"14","q_IC",0.206556438180039,0.1201468,0.3289397
"15","rho_I",0.0681285366829745,0.03479939,0.1170263
