"","Parameter","MAP","Left bound CI","Right bound CI"
"1","Speciation CD",0.558082849315068,0.382459,0.812553
"2","Speciation P",0.484459465753425,0.303093,0.770803
"3","Speciation ID",0.385938414872799,0.285592,0.562536
"4","Speciation CD",1.29669493150685,0.995321,1.69728
"5","Speciation P",1.10986478669276,0.735243,1.77185
"6","Speciation ID",0.894650371819961,0.772585,1.12757
"7","Extinction CD",0.564905884931507,0.285927,1.02755
"8","Extinction P",0.565286223091977,0.313492,0.963654
"9","Extinction ID",0.0699197661839532,0.0104077,0.214156
"10","Extinction CD",0.708049117808219,0.294708,1.21116
"11","Extinction P",0.680294049510763,0.249571,1.46431
"12","Extinction ID",0.0886870231624266,0.0114118,0.274182
"13","Net Div CD",-0.0073991741682975,-0.334962,0.153885
"14","Net Div P",-0.0826098982387475,-0.324918,0.059043
"15","Net Div ID",0.315549242465754,0.227853,0.4418966
"16","Net Div CD",0.583405205479452,0.37875,0.794306
"17","Net Div P",0.400535369863014,0.119316,0.759597
"18","Net Div ID",0.80046364148728,0.691471,1.0279801
"19","Rel Ext CD",0.998371411771183,0.670987283430432,1.55901976587738
"20","Rel Ext P",1.14671153039717,0.865317562727593,1.67551835892903
"21","Rel Ext ID",0.166644662994474,0.0302807157102203,0.433101970289747
"22","Rel Ext CD",0.547052669068588,0.281919847740403,0.745368275348045
"23","Rel Ext P",0.643364389725847,0.281150186289253,0.907062859906594
"24","Rel Ext ID",0.0978007782074488,0.0131853897397939,0.270794033248856
"25","rho_C",0.0321919572998042,0.01041014,0.07284887
"26","q_IC",0.146525922544031,0.08888004,0.2394027
"27","rho_I",0.0555239415949117,0.02765772,0.09015815
"28","alpha",0.0145591168884539,0.006704618,0.02497199
