Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
0	-1587.76	-1585.16	-2.60191	0.16228	0.186563	0.0758919	-1.81843	-1.67899	-2.57844	-1.67391	-1.914	-1.29346	0.03472683	0.06580289	0.1152693	0.02143776	0.304354	0.0301813	0.665465	0.187513	0.14749	0.27432
1	-1586.24	-1583.85	-2.39441	0.17632	0.157476	0.082464	-1.73545	-1.84848	-2.49539	-1.6204	-1.97933	-1.2989	0.02237803	0.05738095	0.08287987	0.0404386	0.521661	0.0318714	0.446468	0.197819	0.138162	0.272832
2	-1585.41	-1583.19	-2.21322	0.194592	0.181538	0.0854928	-1.63685	-1.70629	-2.45932	-1.41816	-2.01836	-1.2989	0.02237803	0.04864865	0.08287987	0.03053136	0.521661	0.0318714	0.446468	0.242158	0.132874	0.272832
3	-1584.81	-1582.58	-2.23023	0.163418	0.161203	0.0809273	-1.81145	-1.82509	-2.5142	-1.3667	-1.79271	-1.31904	0.01710063	0.06435372	0.08287987	0.03053136	0.332859	0.0444511	0.62269	0.254947	0.166509	0.267391
4	-1585.78	-1583.45	-2.33162	0.165689	0.13898	0.0755378	-1.79764	-1.97342	-2.58312	-1.3667	-1.84507	-1.26949	0.01710063	0.04829382	0.08287987	0.04463208	0.332859	0.0444511	0.62269	0.254947	0.158015	0.280976
5	-1586.59	-1584.37	-2.22038	0.158024	0.119542	0.0771943	-1.84501	-2.12409	-2.56143	-1.4006	-1.80563	-1.26949	0.01704224	0.03973264	0.08287987	0.04463208	0.270483	0.0486072	0.680909	0.24645	0.164371	0.280976
6	-1588.98	-1586.42	-2.55643	0.139911	0.104616	0.0748363	-1.96675	-2.25746	-2.59245	-1.41585	-1.88976	-1.30927	0.02309397	0.04465736	0.09468461	0.04530744	0.270483	0.0486072	0.680909	0.242719	0.151107	0.270017
7	-1586.95	-1584.78	-2.16789	0.138642	0.0956143	0.0757784	-1.97586	-2.34743	-2.57994	-1.41585	-1.91918	-1.32515	0.01644384	0.04465736	0.09468461	0.02956341	0.583897	0.104929	0.311174	0.242719	0.146727	0.265763
8	-1585.97	-1583.38	-2.58696	0.166351	0.104187	0.0651981	-1.79366	-2.26157	-2.73032	-1.42795	-1.88401	-1.42381	0.02860186	0.06111067	0.08650125	0.02922794	0.583897	0.104929	0.311174	0.2398	0.151979	0.240795
9	-1586.52	-1583.66	-2.85808	0.163014	0.115787	0.0643885	-1.81392	-2.156	-2.74282	-1.42842	-1.82609	-1.35662	0.03274395	0.09175269	0.08095342	0.02922794	0.522773	0.294116	0.183112	0.239687	0.161042	0.25753
10	-1590.15	-1586.88	-3.2684	0.164164	0.125253	0.0652505	-1.80689	-2.07742	-2.72952	-1.41625	-1.73225	-1.20865	0.03846844	0.09970838	0.08457466	0.0423905	0.522773	0.294116	0.183112	0.242622	0.176886	0.298601
11	-1588.64	-1585.85	-2.79222	0.162294	0.119732	0.0802208	-1.81835	-2.1225	-2.52297	-1.4371	-1.85717	-1.24842	0.03050725	0.06901699	0.08324224	0.04315155	0.522773	0.294116	0.183112	0.237615	0.156114	0.286959
12	-1586.53	-1583.52	-3.0122	0.152187	0.133361	0.0762299	-1.88264	-2.01469	-2.574	-1.46736	-1.90008	-1.31581	0.03050725	0.1178062	0.0882626	0.0357172	0.236608	0.109253	0.654139	0.230533	0.149557	0.268258
13	-1586.08	-1583.56	-2.51958	0.1527	0.135348	0.0775382	-1.87928	-1.9999	-2.55699	-1.38115	-1.80705	-1.31581	0.02000566	0.08973235	0.08177483	0.03070986	0.132537	0.501043	0.36642	0.251288	0.164138	0.268258
14	-1586.18	-1584.1	-2.07946	0.154265	0.152743	0.0717617	-1.86908	-1.879	-2.6344	-1.38486	-1.88735	-1.37428	0.02000566	0.05204141	0.06183167	0.03187037	0.132847	0.502212	0.364941	0.25036	0.151472	0.253021
15	-1587.61	-1584.99	-2.62349	0.154265	0.125787	0.0626048	-1.86908	-2.07316	-2.77091	-1.28006	-1.9767	-1.3853	0.02000566	0.06928738	0.06802024	0.04541291	0.132847	0.502212	0.364941	0.27802	0.138525	0.250249
16	-1588.05	-1585.13	-2.91545	0.154265	0.163187	0.0607524	-1.86908	-1.81286	-2.80095	-1.26198	-1.67771	-1.3853	0.02859672	0.08007134	0.06802024	0.04541291	0.132847	0.502212	0.364941	0.283092	0.186802	0.250249
17	-1587.19	-1583.92	-3.27154	0.191784	0.158999	0.0561062	-1.65139	-1.83886	-2.88051	-1.28737	-1.62946	-1.33013	0.02905204	0.1232409	0.06802024	0.04541291	0.132847	0.502212	0.364941	0.275994	0.196035	0.264442
18	-1589.36	-1586.03	-3.33608	0.161186	0.173667	0.0669291	-1.8252	-1.75061	-2.70412	-1.27461	-1.56694	-1.30677	0.03986877	0.1232409	0.08486481	0.03577724	0.132847	0.502212	0.364941	0.279539	0.208682	0.270693
